labels,label_descriptions,labels_2,labels_3,labels_4
AV,Anteroventral,AV,anterior,Anterior
LD,Laterodorsal,LD,dorsal,Lateral
LP,Lateral posterior,LP,dorsal,Lateral
VA,Ventral anterior,VA,Lateral-rostral,Ventral
VAmc,Ventral anterior magnocellular,VA,Lateral-rostral,Ventral
VLa,ventral lateral anterior,VL,Lateral-rostral,Ventral
VLp,ventral lateral posterior,VL,Lateral-rostral,Ventral
VPL,ventral posterolateral,VPL,Lateral-caudal,Ventral
VM,ventromedial,VPM,Lateral-rostral,Ventral
CeM,central medial,rIL,Intralaminar,Intralaminar
Pc,paracentral,rIL,Intralaminar,Intralaminar
CM,centromedian,cIL,Intralaminar-posterior,Intralaminar
Pf,parafascicular,cIL,Intralaminar,Intralaminar
Pt,paratenial,Midline,Intralaminar,Intralaminar
MV_Re,Reuniens (medial ventral),Midline,Intralaminar,Intralaminar
CL,central lateral,CL,Medial,Medial
MDm,Mediodorsal medial magnocellular-like,MD,Medial,Medial
MDl,Mediodorsal medial parvocellular-like,MD,Medial,Medial
LGN,lateral geniculate,LGN,LGN,Posterior
MGN,medial geniculate,MGN,MGN,Posterior
L_SG,Limitans (suprageniculate),PuI,Pulvinar,Posterior
PuA,Pulvinar anterior,PuA,Pulvinar,Posterior
PuM,Pulvinar medial,PuM,Pulvinar,Posterior
PuMm,Pulvinar medial (medial subdivision),PuM,Pulvinar,Posterior
PuMl,Pulvinar medial (lateral subdivision),PuM,Pulvinar,Posterior
PuL,Pulvinar lateral,PuL,Pulvinar,Posterior
PuI,Pulvinar inferior,PuL,Pulvinar,Posterior
R,Reticular,R,R,R
PaV,PaV,,,
